stim_type	state_marker	cell_population	adj_p_val
GCSF	pSTAT5	MPP	4.25E-02
IFNad	pSTAT5	MPP	8.84E-03
PVO4	pERK1_2	Myelocyte	3.83E-02
PVO4	pPLCgamma2	Myelocyte	2.54E-03
PVO4	pSLP_76	Myelocyte	1.14E-03
PMAiono	pCREB	Naive CD4+ T	4.95E-05
PVO4	pCREB	Naive CD4+ T	5.24E-05
TNFa	pCREB	Naive CD4+ T	8.62E-03
PVO4	pCrkL	Naive CD4+ T	1.35E-02
PMAiono	pERK1_2	Naive CD4+ T	3.78E-02
PMAiono	pH3	Naive CD4+ T	6.05E-04
PMAiono	pMAPKAPK2	Naive CD4+ T	3.56E-02
PMAiono	pNFkB	Naive CD4+ T	2.21E-03
PVO4	pP38	Naive CD4+ T	8.71E-03
PVO4	pPLCgamma2	Naive CD4+ T	1.14E-03
PVO4	pS6	Naive CD4+ T	1.40E-02
PMAiono	pS6	Naive CD4+ T	8.44E-04
PVO4	pSHP2	Naive CD4+ T	2.69E-02
PVO4	pSLP_76	Naive CD4+ T	9.41E-05
PVO4	pSrcFK	Naive CD4+ T	3.71E-03
SCF	pSTAT3	Naive CD4+ T	7.74E-03
IFNad	pSTAT3	Naive CD4+ T	9.24E-03
PVO4	pSTAT5	Naive CD4+ T	1.34E-02
IFNad	pSTAT5	Naive CD4+ T	1.66E-03
IL7	pSTAT5	Naive CD4+ T	9.97E-04
PVO4	pZAP70_Syk	Naive CD4+ T	1.31E-02
PMAiono	pCREB	Naive CD8+ T	1.10E-02
PVO4	pCREB	Naive CD8+ T	8.62E-03
PVO4	pCrkL	Naive CD8+ T	4.00E-03
PMAiono	pH3	Naive CD8+ T	7.54E-03
PVO4	pMAPKAPK2	Naive CD8+ T	3.50E-02
PMAiono	pMAPKAPK2	Naive CD8+ T	4.34E-02
PMAiono	pNFkB	Naive CD8+ T	1.83E-03
PVO4	pP38	Naive CD8+ T	1.71E-03
PMAiono	pP38	Naive CD8+ T	4.22E-02
PVO4	pPLCgamma2	Naive CD8+ T	1.63E-04
PVO4	pS6	Naive CD8+ T	1.66E-03
PMAiono	pS6	Naive CD8+ T	3.08E-04
PVO4	pSHP2	Naive CD8+ T	8.36E-03
PVO4	pSLP_76	Naive CD8+ T	1.05E-04
PVO4	pSrcFK	Naive CD8+ T	1.33E-03
PVO4	pSTAT3	Naive CD8+ T	3.52E-02
IFNad	pSTAT3	Naive CD8+ T	8.14E-03
SCF	pSTAT3	Naive CD8+ T	9.38E-03
IL7	pSTAT5	Naive CD8+ T	1.45E-03
PVO4	pSTAT5	Naive CD8+ T	2.59E-03
IFNad	pSTAT5	Naive CD8+ T	3.08E-03
PVO4	pZAP70_Syk	Naive CD8+ T	3.80E-03
TNFa	IkBalpha	NK	2.43E-02
PVO4	pP38	NK	9.11E-03
SCF	pSTAT3	NK	4.96E-03
IFNad	pSTAT3	NK	7.71E-03
PVO4	pCREB	Plasma cell	4.67E-02
PVO4	pERK1_2	Plasma cell	2.66E-05
BCR	pERK1_2	Plasma cell	2.74E-03
PMAiono	pERK1_2	Plasma cell	6.47E-05
PVO4	pMAPKAPK2	Plasma cell	1.49E-02
PVO4	pP38	Plasma cell	1.49E-02
PVO4	pPLCgamma2	Plasma cell	5.04E-04
PVO4	pSHP2	Plasma cell	1.02E-02
PVO4	pSLP_76	Plasma cell	2.11E-04
PVO4	pSrcFK	Plasma cell	2.43E-02
PVO4	pSTAT3	Plasma cell	1.09E-02
SCF	pSTAT3	Plasma cell	3.71E-03
IFNad	pSTAT3	Plasma cell	8.90E-04
TNFa	IkBalpha	Plasmacytoid DC	1.70E-03
Flt3L	pCREB	Plasmacytoid DC	1.72E-02
IL3	pCREB	Plasmacytoid DC	4.08E-03
GMCSF	pCREB	Plasmacytoid DC	5.30E-03
TNFa	pCREB	Plasmacytoid DC	5.37E-03
PMAiono	pCREB	Plasmacytoid DC	5.48E-03
PVO4	pCREB	Plasmacytoid DC	8.74E-03
